Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType,compound_encoded,is_fresh_tyre,tyre_life_squared,stint_progress,deg_rate
ALO,Aston Martin,13.0,1.0,SOFT,16.0,False,1,100.341,2023,Bahrain Grand Prix,R,0,0,256.0,1.0,0.13453146853146905
ALO,Aston Martin,16.0,2.0,HARD,2.0,True,1,97.542,2023,Bahrain Grand Prix,R,2,1,4.0,0.10526315789473684,0.0016150670794645235
ALO,Aston Martin,17.0,2.0,HARD,3.0,True,1,98.139,2023,Bahrain Grand Prix,R,2,1,9.0,0.15789473684210525,0.0016150670794645235
ALO,Aston Martin,18.0,2.0,HARD,4.0,True,1,98.124,2023,Bahrain Grand Prix,R,2,1,16.0,0.21052631578947367,0.0016150670794645235
ALO,Aston Martin,19.0,2.0,HARD,5.0,True,1,98.361,2023,Bahrain Grand Prix,R,2,1,25.0,0.2631578947368421,0.0016150670794645235
ALO,Aston Martin,20.0,2.0,HARD,6.0,True,1,98.318,2023,Bahrain Grand Prix,R,2,1,36.0,0.3157894736842105,0.0016150670794645235
ALO,Aston Martin,21.0,2.0,HARD,7.0,True,1,98.407,2023,Bahrain Grand Prix,R,2,1,49.0,0.3684210526315789,0.0016150670794645235
ALO,Aston Martin,22.0,2.0,HARD,8.0,True,1,98.2,2023,Bahrain Grand Prix,R,2,1,64.0,0.42105263157894735,0.0016150670794645235
ALO,Aston Martin,23.0,2.0,HARD,9.0,True,1,97.853,2023,Bahrain Grand Prix,R,2,1,81.0,0.47368421052631576,0.0016150670794645235
ALO,Aston Martin,24.0,2.0,HARD,10.0,True,1,97.878,2023,Bahrain Grand Prix,R,2,1,100.0,0.5263157894736842,0.0016150670794645235
ALO,Aston Martin,25.0,2.0,HARD,11.0,True,1,98.139,2023,Bahrain Grand Prix,R,2,1,121.0,0.5789473684210527,0.0016150670794645235
